discipline,file,path,tokens,sentences,adjectives,adj_per_token,adj_per_sentence,tokens_per_sentence
Transcripts_Art,Art_10_de.conllu,conllu/conllu_file/de/Transcripts_Art/Art_10_de.conllu,1443,112,64,0.04435204435204435,0.5714285714285714,12.883928571428571
Transcripts_Art,Art_1_de.conllu,conllu/conllu_file/de/Transcripts_Art/Art_1_de.conllu,4182,327,220,0.052606408417025345,0.672782874617737,12.788990825688073
Transcripts_Art,Art_2_de.conllu,conllu/conllu_file/de/Transcripts_Art/Art_2_de.conllu,2243,154,140,0.06241640659830584,0.9090909090909091,14.564935064935066
Transcripts_Art,Art_3_de.conllu,conllu/conllu_file/de/Transcripts_Art/Art_3_de.conllu,2257,148,135,0.05981391227292867,0.9121621621621622,15.25
Transcripts_Art,Art_4_de.conllu,conllu/conllu_file/de/Transcripts_Art/Art_4_de.conllu,2233,142,139,0.06224809673085535,0.9788732394366197,15.725352112676056
Transcripts_Art,Art_5_de.conllu,conllu/conllu_file/de/Transcripts_Art/Art_5_de.conllu,3889,294,209,0.053741321676523526,0.7108843537414966,13.227891156462585
Transcripts_Art,Art_6_de.conllu,conllu/conllu_file/de/Transcripts_Art/Art_6_de.conllu,2785,205,165,0.059245960502693,0.8048780487804879,13.585365853658537
Transcripts_Art,Art_7_de.conllu,conllu/conllu_file/de/Transcripts_Art/Art_7_de.conllu,1968,133,86,0.04369918699186992,0.6466165413533834,14.796992481203008
Transcripts_Art,Art_8_de.conllu,conllu/conllu_file/de/Transcripts_Art/Art_8_de.conllu,1007,69,63,0.06256206554121152,0.9130434782608695,14.594202898550725
Transcripts_Art,Art_9_de.conllu,conllu/conllu_file/de/Transcripts_Art/Art_9_de.conllu,3049,277,150,0.04919645785503444,0.5415162454873647,11.007220216606498
Transcripts_Business,Bus_10_de.conllu,conllu/conllu_file/de/Transcripts_Business/Bus_10_de.conllu,2874,196,183,0.06367432150313153,0.9336734693877551,14.66326530612245
Transcripts_Business,Bus_1_de.conllu,conllu/conllu_file/de/Transcripts_Business/Bus_1_de.conllu,2752,165,150,0.05450581395348837,0.9090909090909091,16.67878787878788
Transcripts_Business,Bus_2_de.conllu,conllu/conllu_file/de/Transcripts_Business/Bus_2_de.conllu,3782,278,188,0.04970914859862507,0.6762589928057554,13.60431654676259
Transcripts_Business,Bus_3_de.conllu,conllu/conllu_file/de/Transcripts_Business/Bus_3_de.conllu,761,70,29,0.03810775295663601,0.4142857142857143,10.871428571428572
Transcripts_Business,Bus_4_de.conllu,conllu/conllu_file/de/Transcripts_Business/Bus_4_de.conllu,3631,261,205,0.056458275957036626,0.7854406130268199,13.911877394636015
Transcripts_Business,Bus_5_de.conllu,conllu/conllu_file/de/Transcripts_Business/Bus_5_de.conllu,3024,234,176,0.0582010582010582,0.7521367521367521,12.923076923076923
Transcripts_Business,Bus_6_de.conllu,conllu/conllu_file/de/Transcripts_Business/Bus_6_de.conllu,2067,195,134,0.0648282535074988,0.6871794871794872,10.6
Transcripts_Business,Bus_7_de.conllu,conllu/conllu_file/de/Transcripts_Business/Bus_7_de.conllu,1635,117,101,0.0617737003058104,0.8632478632478633,13.974358974358974
Transcripts_Business,Bus_8_de.conllu,conllu/conllu_file/de/Transcripts_Business/Bus_8_de.conllu,1812,116,77,0.04249448123620309,0.6637931034482759,15.620689655172415
Transcripts_Business,Bus_9_de.conllu,conllu/conllu_file/de/Transcripts_Business/Bus_9_de.conllu,1901,140,132,0.06943713834823777,0.9428571428571428,13.57857142857143
Transcripts_Education,Edu_10_de.conllu,conllu/conllu_file/de/Transcripts_Education/Edu_10_de.conllu,2160,163,133,0.06157407407407407,0.8159509202453987,13.251533742331288
Transcripts_Education,Edu_1_de.conllu,conllu/conllu_file/de/Transcripts_Education/Edu_1_de.conllu,1717,105,81,0.04717530576587071,0.7714285714285715,16.35238095238095
